Date,Close,High,Low,Open,Volume,simple_return_o2c,log_return_o2c,squared_return,abs_return
2023-09-26,19664.69922,19699.34961,19637.44922,19682.80078,204900,-0.0009196638325169,-0.0009200869827565,8.465600558379599e-07,0.0009200869827565
2023-09-27,19716.44922,19730.69922,19554.0,19637.05078,203600,0.0040432975852393,0.0040351454245774,1.6282398597487923e-05,0.0040351454245774
2023-09-28,19523.55078,19766.65039,19492.09961,19761.80078,352800,-0.0120560875323225,-0.0121293516030876,0.00014712117031132375,0.0121293516030876
2023-09-29,19638.30078,19726.25,19551.05078,19581.19922,243500,0.0029161421299304,0.0029118984356115,8.4791524993167e-06,0.0029118984356115
2023-10-03,19528.75,19623.19922,19479.65039,19622.40039,221700,-0.0047726265970867,-0.0047840519465171,2.2887153026974054e-05,0.0047840519465171
2023-10-04,19436.09961,19457.80078,19333.59961,19446.30078,277100,-0.0005245815188918,-0.0005247191599149,2.753301967817984e-07,0.0005247191599149
2023-10-05,19545.75,19576.94922,19487.30078,19521.84961,234900,0.0012242892183615,0.0012235403874445,1.4970510797078374e-06,0.0012235403874445
2023-10-06,19653.5,19675.75,19589.40039,19621.19922,159100,0.0016462184414842,0.0016448649091753,2.705580569436268e-06,0.0016448649091753
2023-10-09,19512.34961,19588.94922,19480.5,19539.44922,165100,-0.001386917803817,-0.0013878804645047,1.926212183753782e-06,0.0013878804645047
2023-10-10,19689.84961,19717.80078,19565.44922,19565.59961,216600,0.0063504314959248,0.0063303524679927,4.007336236902127e-05,0.0063303524679927
2023-10-11,19811.34961,19839.19922,19756.94922,19767.0,213700,0.0022436186573582,0.0022411055033558,5.022553877171653e-06,0.0022411055033558
2023-10-12,19794.0,19843.30078,19772.65039,19822.69922,217900,-0.0014477957659289,-0.0014488448348994,2.0991513556146694e-06,0.0014488448348994
2023-10-13,19751.05078,19805.40039,19635.30078,19654.55078,255000,0.0049098044051048,0.0048977906229563,2.3988352986318663e-05,0.0048977906229563
2023-10-16,19731.75,19781.30078,19691.84961,19737.25,181000,-0.0002786609076745,-0.0002786997408396,7.76735455440602e-08,0.0002786997408396
2023-10-17,19811.5,19849.75,19775.65039,19843.19922,185800,-0.0015974853474256,-0.0015987626876794,2.556042131515859e-06,0.0015987626876794
2023-10-18,19671.09961,19840.94922,19659.94922,19820.44922,198900,-0.0075351274001043,-0.0075636598935858,5.720895098583836e-05,0.0075636598935858
2023-10-19,19624.69922,19681.80078,19512.34961,19545.19922,230300,0.0040674949948142,0.0040592451004175,1.647747078526348e-05,0.0040592451004175
