lag,acf_return,acf_return_ci_low,acf_return_ci_high,pacf_return,pacf_return_ci_low,pacf_return_ci_high,acf_squared_return,acf_squared_return_ci_low,acf_squared_return_ci_high,pacf_squared_return,pacf_squared_return_ci_low,pacf_squared_return_ci_high,acf_abs_return,acf_abs_return_ci_low,acf_abs_return_ci_high,pacf_abs_return,pacf_abs_return_ci_low,pacf_abs_return_ci_high
30,0.0009289453681821105,-0.038117556158051354,0.039975446894415574,0.005278718819936415,-0.03265212116526321,0.043209558805136036,0.03157031185090687,-0.029170576078516676,0.09231119978033042,0.006274534289843165,-0.03165630569535646,0.044205374275042786,0.07564358447612943,0.018550946238687055,0.1327362227135718,0.01570254877670569,-0.022228291208493935,0.053633388761905314
31,-0.01790931033695949,-0.05695584365995984,0.02113722298604086,-0.014197565105473523,-0.052128405090673145,0.023733274879726103,0.046088368420399914,-0.014676123049673827,0.10685285989047366,-0.0026581638163466186,-0.040589003801546245,0.035272676168853004,0.09668509772263612,0.039448446513341964,0.15392174893193028,0.030681700362866497,-0.007249139622333128,0.06861254034806612
32,0.0022109777471258584,-0.036847372228062954,0.04126932772231467,-0.005664007229537354,-0.04359484721473698,0.03226683275566227,0.041894771469134985,-0.0189199933828706,0.10270953632114058,0.03205868886526392,-0.005872151119935706,0.06998952885046354,0.08630555365593098,0.028834403421565832,0.14377670389029612,0.0221795434450994,-0.015751296540100223,0.06011038343029902
33,-0.001489137490372868,-0.04054766753448597,0.037569392553740234,-0.0089655350008082,-0.04689637498600782,0.028965304984391427,0.0611601813155249,0.0003039069780179371,0.12201645565303186,0.015940373347185267,-0.021990466638014357,0.05387121333238489,0.0822582936623576,0.024600973441458444,0.13991561388325674,0.007239163699988328,-0.030691676285211297,0.045170003685187955
34,-0.005428391034048429,-0.04448700276238163,0.03363022069428477,-0.009673221559599205,-0.04760406154479883,0.02825761842560042,0.004177515245358902,-0.05676712848742164,0.06512215897813944,-0.052695581467423036,-0.09062642145262266,-0.014764741482223412,0.03718207028800177,-0.020643849071254328,0.09500798964725787,-0.04052528258867025,-0.07845612257386987,-0.002594442603470623
35,0.019505473418733755,-0.01955422374587636,0.05856517058334387,0.022410401834387472,-0.015520438150812152,0.060341241819587096,0.04069362618973219,-0.020251429530508194,0.10163868190997258,0.012763111090559382,-0.025167728894640244,0.050693951075759004,0.07469465810811102,0.016834351265183935,0.1325549649510381,0.015020000350588442,-0.022910839634611182,0.05295084033578806
36,-0.040407625618153795,-0.07948133449310474,-0.0013339167432028579,-0.04223867953403253,-0.08016951951923215,-0.0043078395488329035,0.0341102294998968,-0.026873906710622508,0.09509436571041611,-0.01750455478276679,-0.05543539476796641,0.020426285202432833,0.056726145409526925,-0.0012727296241041644,0.11472502044315802,-0.010253052758049108,-0.04818389274324873,0.027677787227150516
37,-0.0018920863781291429,-0.041025870175293855,0.037241697419035574,-0.010888695724358572,-0.048819535709558194,0.027042144260841054,0.007688082360120045,-0.05332349735804442,0.06869966207828451,0.0012284643048742804,-0.03670237568032535,0.0391593042900739,0.05096714814209368,-0.007111495744533083,0.10904579202872045,-0.005314793982974751,-0.04324563396817437,0.032616046002224876
38,-0.009860529672980319,-0.04899444508783589,0.029273385741875255,-0.01346467747148655,-0.05139551745668618,0.02446616251371307,0.04694071401822474,-0.014072259510479745,0.10795368754692923,0.01406526723960156,-0.023865572745598064,0.051996107224801184,0.058949156534634374,0.0008061981736138465,0.11709211489565491,0.005264774157301457,-0.03266606582789817,0.04319561414250108
39,0.026877296646072295,-0.012260193243863564,0.06601478653600815,0.019932054565923268,-0.017998785419276356,0.057862894551122895,0.03409062561684466,-0.026974284965148337,0.09515553619883765,0.03595046477994003,-0.0019803752052595935,0.07388130476513965,0.07115593858991225,0.01292705470323454,0.12938482247658994,0.026013566441240248,-0.011917273543959377,0.06394440642643986
40,0.0219196223959678,-0.01724441451874794,0.06108365931068354,0.0244339571880182,-0.013496882797181423,0.06236479717321783,0.026525612853898182,-0.03456667346386193,0.0876178991716583,-0.015153684956886468,-0.05308452494208609,0.022777155028313158,0.06270788090221528,0.004354027820407724,0.12106173398402284,0.0014262548517085475,-0.03650458513349108,0.03935709483690817
